16:35:42.257 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:35:42.257 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:35:42.257 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:37:17.267 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - junit
16:37:17.267 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - true
16:37:17.269 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:37:17.269 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:37:17.269 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:37:17.269 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:38:29.163 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - junit
16:38:29.163 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - true
16:38:29.165 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:38:29.165 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:38:29.165 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:38:29.165 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:47:22.006 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - junit
16:47:22.007 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - true
16:47:22.008 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:47:22.008 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:47:22.008 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:47:22.008 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:47:42.289 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - junit
16:47:42.289 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - true
16:47:42.292 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:47:42.292 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.32.9/browserstack-java-sdk-1.32.9.jar
16:47:42.292 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:47:42.292 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
16:52:57.266 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - junit
16:52:57.266 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - true
16:52:57.267 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
16:52:57.267 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
16:52:57.267 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
16:52:57.267 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:04:00.175 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - junit
17:04:00.175 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - true
17:04:00.177 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:04:00.177 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:04:00.177 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:04:00.177 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:11:44.119 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - junit
17:11:44.119 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - true
17:11:44.121 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:11:44.121 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:11:44.121 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:11:44.121 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:13:24.662 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:13:24.662 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - true
17:13:24.663 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:13:24.663 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:13:24.663 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:13:24.663 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:16:08.750 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:16:08.750 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - true
17:16:08.750 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:16:08.750 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:16:08.750 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:16:08.750 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
17:16:55.245 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - junit
17:16:55.245 [ApplicationImpl pooled thread 4] INFO  com.browserstack.utils.Helpers - true
17:16:55.245 [ApplicationImpl pooled thread 4] INFO  com.browserstack.utils.Helpers - C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:16:55.245 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/mu_bi/.m2/repository/com/browserstack/browserstack-java-sdk/1.27.0/browserstack-java-sdk-1.27.0.jar
17:16:55.245 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
17:16:55.245 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
